"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Mirpur","Jammu And Kashmir",NA,1,NA,438559.905538,3578908207.59,33.512654456007
"2","Muzaffarabad","Jammu And Kashmir",NA,1,NA,594020.745396,4782216829.89,31.3184673843563
"3","Punch","Jammu And Kashmir",NA,1,"10",404743.70314,4207362940.54,33.6901146632351
"4","Anantnag","Jammu And Kashmir",NA,1,"1",357458.948993,2704591646.4,26.6791450409484
"5","Baramula","Jammu And Kashmir",NA,1,"3",274658.944043,2049073981.73,32.8782822619837
"6","Kathua","Jammu And Kashmir",NA,1,"7",312247.411073,2461252983.39,31.9860071414338
"7","Udhampur","Jammu And Kashmir",NA,1,"14",288814.289858,2248373625.74,29.1735449556991
"8","Badgam","Jammu And Kashmir",NA,1,"2",197128.416846,1239938272.35,33.3842094131457
"9","Bandipura","Jammu And Kashmir",NA,1,"623",420303.218779,4029129267.64,28.7042719290228
"10","Ganderbal","Jammu And Kashmir",NA,1,"626",331742.084161,1610758400.71,27.1735503103837
"11","Kulgam","Jammu And Kashmir",NA,1,"622",254099.489446,1252588614.12,29.5397945347522
"12","Kupwara","Jammu And Kashmir",NA,1,"8",285264.236715,2733098874.93,29.2836066876932
"13","Pulwama","Jammu And Kashmir",NA,1,"11",187781.081236,889648679.843,29.0113587722456
"14","Rajauri","Jammu And Kashmir",NA,1,"12",308772.18363,2604695183.02,32.6721212097688
"15","Ramban","Jammu And Kashmir",NA,1,"621",166556.496024,1273536713.13,27.0495537280161
"16","Riasi","Jammu And Kashmir",NA,1,"627",328241.986919,1909557766.35,30.6040256822622
"17","Shupiyan","Jammu And Kashmir",NA,1,"625",163208.517496,501083824.278,29.5789405526784
"18","Srinagar","Jammu And Kashmir",NA,1,"13",166004.844838,279773782.488,31.7513726296683
"19","Kishtwar","Jammu And Kashmir",NA,1,"620",569459.854812,8089004992.73,23.7558445658163
"20","Doda","Jammu And Kashmir",NA,1,"4",292256.661541,2377508546.92,26.3541241764212
"21","Samba","Jammu And Kashmir",NA,1,"624",194152.890961,913378106.563,38.9322763036218
"22","Jammu","Jammu And Kashmir",NA,1,"5",379215.133327,2375423523.41,42.1589272362174
