"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Bagalkot","Karnataka",NA,29,"524",659839.068568,6414875097.54,32.9772092672379
"2","Ballari","Karnataka",NA,29,"528",780219.728597,8330054798.36,32.1854563785614
"3","Belagavi","Karnataka",NA,29,"527",1101145.49923,13157389060.9,33.5226034843945
"4","Bengaluru Rural","Karnataka",NA,29,"526",491266.99766,2286911394.91,29.1910860318619
"5","Bengaluru Urban","Karnataka",NA,29,"525",332478.194483,2189237083.51,40.7628996489517
"6","Bidar","Karnataka",NA,29,"529",551963.04585,5296106339.05,30.4359440615346
"7","Chamarajanagar","Karnataka",NA,29,"531",591094.402353,5667936944.09,25.6624571441001
"8","Chik Ballapur","Karnataka",NA,29,"630",493203.119865,4213065376.56,31.2720978929008
"9","Chikkamagaluru","Karnataka",NA,29,"532",590659.05133,7157359114.54,21.533683687918
"10","Chitradurga","Karnataka",NA,29,"533",674318.410251,8346938429.79,28.4758588026541
"11","Dakshina  Kannada","Karnataka",NA,29,"534",485546.305457,4846207973.22,20.7403175781174
"12","Davangere","Karnataka",NA,29,"535",589250.396908,5852940042.41,27.1429188719844
"13","Dharwad","Karnataka",NA,29,"536",466079.214976,4185668771.86,27.0018481146571
"14","Gadag","Karnataka",NA,29,"537",559734.030819,4576795324.69,29.2234048596264
"15","Hassan","Karnataka",NA,29,"539",653271.782346,6790131976.17,22.233219468425
"16","Haveri","Karnataka",NA,29,"540",467260.530662,4756757131.34,26.0223861117891
"17","Kalaburagi","Karnataka",NA,29,"538",891041.043824,10677305597.1,33.120409022386
"18","Kodagu","Karnataka",NA,29,"541",466411.439993,4107024700.63,14.7052517346175
"19","Kolar","Karnataka",NA,29,"542",499240.779267,3961738111.61,27.3284075787707
"20","Koppal","Karnataka",NA,29,"543",536933.303149,5469501330.61,32.294210741936
"21","Mandya","Karnataka",NA,29,"544",546142.247035,4958061208.95,29.4492620421929
"22","Mysuru","Karnataka",NA,29,"545",677680.91497,6319631855.38,24.2644728845639
"23","Raichur","Karnataka",NA,29,"546",541023.343769,8269769313.37,33.8988542639408
"24","Ramanagaram","Karnataka",NA,29,"631",463142.658544,3508219073.21,29.6955071600397
"25","Shivamogga","Karnataka",NA,29,"547",746077.363066,8394388205.85,24.4593668177991
"26","Tumakuru","Karnataka",NA,29,"548",1078480.23785,10527504922.9,29.8445892798605
"27","Udupi","Karnataka",NA,29,"549",374693.266966,3558589452.56,23.63478090877
"28","Uttara  Kannada","Karnataka",NA,29,"550",787314.515943,10132884012.4,28.570847504902
"29","Vijayapura","Karnataka",NA,29,"530",691684.992805,10248125367.8,33.4852018410486
"30","Yadgir","Karnataka",NA,29,"635",544018.622086,5153341023.23,32.572195935973
