"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Bokaro","Jharkhand",NA,20,"322",426028.253477,2769081510.12,75.3217050804812
"2","Chatra","Jharkhand",NA,20,"323",563467.093259,3659068583.38,57.682816931326
"3","Dhanbad","Jharkhand",NA,20,"325",224325.413726,1959276427.23,76.793264092178
"4","Deoghar","Jharkhand",NA,20,"324",310907.259859,2390217604.53,59.6751927668633
"5","Dumka","Jharkhand",NA,20,"326",406167.968678,3615427429.58,58.3609976179152
"6","Garhwa","Jharkhand",NA,20,"328",411883.179617,3943667394.68,48.5565012523827
"7","Giridih","Jharkhand",NA,20,"329",468886.656299,4772801949.38,62.5955510722826
"8","Godda","Jharkhand",NA,20,"330",314184.807318,2195720988.78,67.9065257723241
"9","Gumla","Jharkhand",NA,20,"331",564026.421883,5154590132.42,53.7090534323204
"10","Hazaribagh","Jharkhand",NA,20,"332",663332.48776,4170568752.55,60.5987017137775
"11","Jamtara","Jharkhand",NA,20,"333",327376.665608,1738218050.82,66.6379084219796
"12","Khunti","Jharkhand",NA,20,"606",385548.046711,2534969139.97,62.9227282843912
"13","Kodarma","Jharkhand",NA,20,"334",313957.610925,1575453962.77,63.5981344848829
"14","Latehar","Jharkhand",NA,20,"335",504222.16652,4079607814.35,50.4176191005553
"15","Lohardaga","Jharkhand",NA,20,"336",257886.538271,1448312602.47,53.0853615296311
"16","Pakur","Jharkhand",NA,20,"337",340590.07903,1731475167.27,65.1017515753329
"17","Palamu","Jharkhand",NA,20,"338",463099.564722,4249289634.74,51.9395885251153
"18","West Singhbhum","Jharkhand",NA,20,"343",533810.615938,6950444307.65,63.7094627270159
"19","East Singhbhum","Jharkhand",NA,20,"327",422058.450828,3420455093.05,69.1183126081652
"20","Ramgarh","Jharkhand",NA,20,"607",331867.364263,1339974221.29,73.3117737057629
"21","Ranchi","Jharkhand",NA,20,"339",615497.773733,4794372182.93,60.7124083258604
"22","Sahibganj","Jharkhand",NA,20,"340",312017.89312,2101567038.43,72.021599105191
"23","Saraikela-Kharsawan","Jharkhand",NA,20,"341",364986.256416,2557734350.04,66.8976045985029
"24","Simdega","Jharkhand",NA,20,"342",402245.472694,3634647646.57,55.6706098608273
