"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Ambala","Haryana",NA,6,"58",379482.603591,1473787664.6,63.0788749795355
"2","Bhiwani","Haryana",NA,6,"59",386681.018029,3186628724.21,81.3737256886853
"3","Faridabad","Haryana",NA,6,"60",151373.000898,718856360.797,107.781385360603
"4","Fatehabad","Haryana",NA,6,"61",325531.834462,2453477038.91,85.9273427558416
"5","Gurugram","Haryana",NA,6,"62",248625.676773,1209068040.61,106.635851057328
"6","Hisar","Haryana",NA,6,"63",419949.440637,3950342805.32,85.0243728510377
"7","Jhajjar","Haryana",NA,6,"64",309139.08758,1798823691.95,98.5499984958771
"8","Jind","Haryana",NA,6,"65",405414.555191,2649068440.14,85.6253763057699
"9","Kaithal","Haryana",NA,6,"66",361977.802493,2209712057.94,77.8989901893094
"10","Karnal","Haryana",NA,6,"67",349782.077342,2405776731.97,80.9518883251086
"11","Kurukshetra","Haryana",NA,6,"68",263847.595194,1629906619.71,73.3141912436373
"12","Mahendragarh","Haryana",NA,6,"69",396168.043484,1869906630.48,75.2245890120251
"13","Mewat","Haryana",NA,6,"604",337936.482813,1463782591.41,99.6706162200373
"14","Palwal","Haryana",NA,6,"619",236392.768346,1313937684.52,103.876574386892
"15","Panchkula","Haryana",NA,6,"70",220844.253834,858678376.092,45.7729389857723
"16","Panipat","Haryana",NA,6,"71",205738.448961,1263800771.46,90.4321093618645
"17","Rewari","Haryana",NA,6,"72",287206.335335,1501531415.55,89.7754595077966
"18","Rohtak","Haryana",NA,6,"73",245463.495732,1616224665.17,96.0332716266154
"19","Sirsa","Haryana",NA,6,"74",426814.018781,4147871217.32,78.2387806402207
"20","Sonipat","Haryana",NA,6,"75",280154.816359,2112606012.04,98.7583053716227
"21","Yamunanagar","Haryana",NA,6,"76",274920.562996,1674414309.23,65.6092788260234
"22","Charkhi Dadri","Haryana",NA,6,"701",259526.538053,1338808894.22,82.1513048061291
