"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Anjaw","Arunachal Pradesh",NA,12,"628",389633.475618,5812749719.16,10.56762320315
"2","Changlang","Arunachal Pradesh",NA,12,"229",585539.158236,4774119298.39,15.8356074303847
"3","Dibang Valley","Arunachal Pradesh",NA,12,"230",585432.566276,9275386882.01,7.94290260430971
"4","East Kameng","Arunachal Pradesh",NA,12,"231",393940.016192,4257152032.24,15.7452129134356
"5","Kurung Kumey","Arunachal Pradesh",NA,12,"233",350111.364373,4293936005.41,12.6819018671885
"6","Lohit","Arunachal Pradesh",NA,12,"234",380960.13076,2950775016.21,11.6876407666641
"7","Lower Dibang Valley","Arunachal Pradesh",NA,12,"235",406120.977157,3423274244.54,11.0112672758606
"8","Papumpare","Arunachal Pradesh",NA,12,"237",429256.816125,3324532414.56,19.2039269655643
"9","Tawang","Arunachal Pradesh",NA,12,"238",311006.712835,2371676838.22,15.3489301430527
"10","Tirap","Arunachal Pradesh",NA,12,"239",184942.10308,1132502137.45,21.6705117320573
"11","Upper Siang","Arunachal Pradesh",NA,12,"240",478881.591212,6489805076.94,9.36711800125569
"12","Upper Subansiri","Arunachal Pradesh",NA,12,"241",476128.575102,6268085490.83,12.4436768666565
"13","West Kameng","Arunachal Pradesh",NA,12,"242",378357.647605,4742700076.47,17.0696531881689
"14","Lower Siang","Arunachal Pradesh","Not Verified on Ground",12,"719",297474.745069,1751262989.53,15.770590002569
"15","Lower Subansiri","Arunachal Pradesh",NA,12,"236",265052.783622,1875008315.31,13.7797669300477
"16","Siang","Arunachal Pradesh","Not Verified on Ground",12,"679",381310.003195,3337731638.1,10.9746740968956
"17","West Siang","Arunachal Pradesh",NA,12,"243",205653.056089,1288854388.04,11.8762169939678
"18","Shi Yomi","Arunachal Pradesh","Not Verified on Ground",12,"725",234935.066859,2533614848.59,9.75644152670976
"19","Lepa Rada","Arunachal Pradesh","Not Verified on Ground",12,"724",136851.799851,740599302.215,12.9856465810855
"20","Pakke Kessang","Arunachal Pradesh","Not Verified on Ground",12,"723",292751.205061,1841756403.84,18.7890612470718
"21","Kra Daadi","Arunachal Pradesh","Not Verified on Ground",12,"677",272548.025795,1700826022.83,12.8031784820946
"22","Namsai","Arunachal Pradesh","Not Verified on Ground",12,"678",173448.760741,1295671649.57,14.9227499839081
"23","Kamle","Arunachal Pradesh","Not Verified on Ground",12,"718",226425.94142,1331507163.19,13.4918024581506
"24","East Siang","Arunachal Pradesh",NA,12,"232",212629.714858,1623400625.02,12.7595356385172
"25","Longding","Arunachal Pradesh","Not Verified on Ground",12,"666",171487.612598,902244317.477,23.3016448524946
