"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Ahamadnagar","Maharashtra",NA,27,"466",1367396.16826,16550797348.6,42.6712879732006
"2","Akola","Maharashtra",NA,27,"467",611947.200511,5247082318.11,51.0639714411334
"3","Amaravati","Maharashtra",NA,27,"468",932435.49998,11762389091.9,49.5567686397535
"4","Aurangabad","Maharashtra",NA,27,"469",863383.818773,9778296575.99,45.3444118796526
"5","Bhandara","Maharashtra",NA,27,"471",500711.942435,3987875957.98,55.9701054521817
"6","Bid","Maharashtra",NA,27,"470",931334.13519,10276572845.5,38.7612932393522
"7","Buldhana","Maharashtra",NA,27,"472",748817.147515,9401299790.44,49.026517702494
"8","Chandrapur","Maharashtra",NA,27,"473",678345.456653,10976002007.1,44.9251294990586
"9","Dhule","Maharashtra",NA,27,"474",615312.933892,6928963480.86,48.2288851930441
"10","Gadchiroli","Maharashtra",NA,27,"475",920122.858807,14017683711,43.6452409789496
"11","Gondia","Maharashtra",NA,27,"476",527555.690964,4995326134.93,56.0402098248348
"12","Hingoli","Maharashtra",NA,27,"477",498581.111436,4555533347.49,43.2002644708964
"13","Jalgaon","Maharashtra",NA,27,"478",824987.501403,11369781385.3,52.4958365529491
"14","Jalna","Maharashtra",NA,27,"479",700656.759192,7419966772.88,45.3669795124714
"15","Kolhapur","Maharashtra",NA,27,"480",945182.456423,7506208619.8,38.3477903641653
"16","Latur","Maharashtra",NA,27,"481",549557.848138,6991881390.98,35.6614479165646
"17","Mumbai City","Maharashtra",NA,27,"482",61422.9777795,62033859.2334,38.4437882602241
"18","Nagpur","Maharashtra",NA,27,"484",650985.898037,9538672320.58,54.6508077752164
"19","Nanded","Maharashtra",NA,27,"485",1053017.43073,10199321660.6,40.2328439619357
"20","Nandurbar","Maharashtra",NA,27,"486",723808.465229,5736401138.56,45.6250465784176
"21","Nashik","Maharashtra",NA,27,"487",897467.638098,14979851771.6,39.3933968573241
"22","Usmanabad","Maharashtra",NA,27,"488",812462.780992,7358562067.19,35.7303164730748
"23","Palghar","Maharashtra",NA,27,"665",473314.444913,5094568810.94,33.2696482224619
"24","Parbhani","Maharashtra",NA,27,"489",595317.48249,6105206721.99,41.7037290994272
"25","Pune","Maharashtra",NA,27,"490",1021913.71844,15181792460.8,47.0035139766317
"26","Raygad","Maharashtra",NA,27,"491",712807.604282,6772380900.46,39.69010507916
"27","Ratnagiri","Maharashtra",NA,27,"492",733803.821237,8081757310.55,32.809273439588
"28","Sangli","Maharashtra",NA,27,"493",947268.375846,8391930255.02,36.9595558421686
"29","Satara","Maharashtra",NA,27,"494",725488.712661,10194658859.1,37.9674382097172
"30","Sindhudurg","Maharashtra",NA,27,"495",607457.841605,5000891034.16,32.6735689821331
"31","Solapur","Maharashtra",NA,27,"496",1286705.84716,14450282152,37.9190256857535
"32","Sub Urban Mumbai","Maharashtra",NA,27,"483",118690.855653,418051976.499,38.9259958417658
"33","Thane","Maharashtra",NA,27,"497",438859.059026,4136100179.66,37.9642249796234
"34","Wardha","Maharashtra",NA,27,"498",494888.00371,6083172728.76,50.4994362489164
"35","Washim","Maharashtra",NA,27,"499",600302.4452,4955811384.29,44.3723275468536
"36","Yavatmal","Maharashtra",NA,27,"500",928990.412983,13121639303.7,45.3312202421399
