"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Champhai","Mizoram",NA,15,"262",417447.646273,3269846214.01,30.9627003518301
"2","Saiha","Mizoram",NA,15,"267",279456.276159,1472797725.22,39.7188098283396
"3","Lawngtlai","Mizoram",NA,15,"264",511194.198489,2333885140.33,46.3233013616709
"4","Serchhip","Mizoram",NA,15,"268",315614.096003,1389741564.05,34.7346951086513
"5","Kolasib","Mizoram",NA,15,"263",275719.081131,1433545992.08,38.0723899447041
"6","Mamit","Mizoram",NA,15,"266",420838.467991,2948742118.94,42.5936291031151
"7","Lunglei","Mizoram",NA,15,"265",483877.324104,4363220084.77,42.9199244527951
"8","Aizawl","Mizoram",NA,15,"261",553757.087176,3063622842.13,33.6249770173537
