"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Ariyalur","Tamil Nadu",NA,33,"610",259098.153078,1953551845.55,24.8129626335186
"2","Chengalpattu","Tamil Nadu",NA,33,"730",358842.505918,2720867896.5,31.1973071628522
"3","Chennai","Tamil Nadu",NA,33,"568",129264.584986,332995243.659,33.2848944027906
"4","Coimbatore","Tamil Nadu",NA,33,"569",567689.264188,4774994296.49,24.9320320174169
"5","Cuddalore","Tamil Nadu",NA,33,"570",538000.310459,3726277215.72,25.88143872323
"6","Dharmapuri","Tamil Nadu",NA,33,"571",524839.925954,4507661284.66,29.4769785117694
"7","Dindigul","Tamil Nadu",NA,33,"572",647345.612172,6144763049.19,26.1049469672573
"8","Erode","Tamil Nadu",NA,33,"573",754856.035429,5145413409.28,31.5172622837776
"9","Kanchipuram","Tamil Nadu",NA,33,"574",434909.581434,1742378007.2,31.7633440254834
"10","Kallakkurichi","Tamil Nadu",NA,33,"729",423126.665448,3547769481.39,26.6654149223935
"11","Kanyakumari","Tamil Nadu",NA,33,"575",250200.341266,1735656760.7,23.635516699226
"12","Karur","Tamil Nadu",NA,33,"576",465382.763621,2937839639.39,30.8471968601974
"13","Madurai","Tamil Nadu",NA,33,"578",556591.142734,3778649192.34,26.6712311921524
"14","Nilgiris","Tamil Nadu",NA,33,"587",348091.550661,2448560749.01,11.8842772203339
"15","Nagapattinam","Tamil Nadu",NA,33,"579",551117.207372,2596160074.42,25.1183471818109
"16","Namakkal","Tamil Nadu",NA,33,"580",421895.926029,3447144066.83,31.3305612096857
"17","Perambalur","Tamil Nadu",NA,33,"581",293242.935931,1771180070.4,25.7226228666324
"18","Pudukkottai","Tamil Nadu",NA,33,"582",700396.399693,4724470766.08,25.9921376283189
"19","Ramanathapuram","Tamil Nadu",NA,33,"583",759677.186729,4205965470.07,26.4338904384
"20","Ranippettai","Tamil Nadu",NA,33,"731",364819.857096,1844110586.9,26.8811948466101
"21","Salem","Tamil Nadu",NA,33,"584",915161.466656,6037029189.73,30.1335154322976
"22","Sivaganga","Tamil Nadu",NA,33,"585",696117.078501,4324025753.96,26.2239803962587
"23","Teni","Tamil Nadu",NA,33,"588",346738.897043,2923469272.8,22.6725802522192
"24","Tenkasi","Tamil Nadu",NA,33,"733",376983.820507,2883873054.37,23.5436025822292
"25","Thanjavur","Tamil Nadu",NA,33,"586",657496.455385,3471130011.69,27.0456830964854
"26","Thiruvarur","Tamil Nadu",NA,33,"590",478490.388868,2294247331.82,26.5620074140021
"27","Tiruchirapalli","Tamil Nadu",NA,33,"591",803655.820801,4544662494.21,29.2034943915454
"28","Tirunelveli","Tamil Nadu",NA,33,"592",472798.255667,4003497672.72,26.234073421503
"29","Tiruppur","Tamil Nadu",NA,33,"634",694086.496906,5258915004.3,30.6514428349945
"30","Tiruppattur","Tamil Nadu",NA,33,"732",320210.743993,2114299060.62,27.2561100491307
"31","Tiruvallur","Tamil Nadu",NA,33,"589",690569.583461,3213859851.87,30.6500276231744
"32","Tiruvannamalai","Tamil Nadu",NA,33,"593",717314.505342,6180277375.92,28.0991983796789
"33","Tuticorin","Tamil Nadu",NA,33,"594",528597.004217,4873818770.8,27.4955709029109
"34","Vellore","Tamil Nadu",NA,33,"595",428348.677371,2101439158.85,27.4030667118941
"35","Villupuram","Tamil Nadu",NA,33,"596",599858.09448,3669168010.95,26.1841610704811
"36","Virudhunagar","Tamil Nadu",NA,33,"597",574984.916365,4336580864.73,27.0282317784545
"37","Krishnagiri","Tamil Nadu",NA,33,"577",636648.095911,5134733859.91,28.4154866529512
