"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Amritsar","Punjab",NA,3,"27",380102.553442,2623105715.41,74.3983345625486
"2","Barnala","Punjab",NA,3,"605",246764.006365,1386792906.83,77.6299387812178
"3","Bathinda","Punjab",NA,3,"28",423493.075552,3286728684.71,78.587120204317
"4","Faridkot","Punjab",NA,3,"29",232052.269593,1423775135.23,76.1092665244261
"5","Fatehgarh Sahib","Punjab",NA,3,"30",244335.235364,1122052750.54,66.1301638586756
"6","Fazilka","Punjab",NA,3,"651",365353.754267,2798830588.69,68.1540749906029
"7","Firozpur","Punjab",NA,3,"31",385056.483121,2314053247.57,79.9848171239053
"8","Gurdaspur","Punjab",NA,3,"32",329343.615225,2552622899.18,64.6335274163457
"9","Hoshiarpur","Punjab",NA,3,"33",432605.848036,3311392436.65,54.8184348918013
"10","Jalandhar","Punjab",NA,3,"34",455724.597931,2578783505.38,73.633782565282
"11","Kapurthala","Punjab",NA,3,"35",437645.667489,1595462047,75.5190473189414
"12","Ludhiana","Punjab",NA,3,"36",398856.01997,3599128291.44,78.1141823155151
"13","Mansa","Punjab",NA,3,"37",345168.466611,2110335727.32,78.5130036689859
"14","Moga","Punjab",NA,3,"38",305850.123395,2194885167.27,79.8647581766685
"15","Sri Muktsar Sahib","Punjab",NA,3,"39",353904.864163,2570525722.43,76.4893007291388
"16","Shahid Bhagat Singh Nagar","Punjab",NA,3,"40",263509.141549,1234296266.52,63.7669623686623
"17","Pathankot","Punjab",NA,3,"662",246908.587519,933021429.61,38.2627948008258
"18","Patiala","Punjab",NA,3,"41",638392.494829,3227294801.32,67.1976400240134
"19","Rupnagar","Punjab",NA,3,"42",332146.989843,1342569809.53,49.0775649665883
"20","Sangrur","Punjab",NA,3,"43",516708.804692,3510599164.3,76.5836660483492
"21","Sas Nagar (Sahibzada Ajit Singh Nagar)","Punjab",NA,3,"608",315615.196109,1065348207.45,53.9780312905212
"22","Tarn Taran","Punjab",NA,3,"609",314763.38614,2361087613.76,81.9417181820089
