"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Bilaspur","Himachal Pradesh",NA,2,"15",253303.283625,1139841150.09,33.917493295247
"2","Chamba","Himachal Pradesh",NA,2,"16",561018.426412,6411374707.61,26.4701843782759
"3","Hamirpur","Himachal Pradesh",NA,2,"17",188675.941772,1092455557.7,31.1609910011991
"4","Kangra","Himachal Pradesh",NA,2,"18",571807.668986,5633809227.67,28.5420010376941
"5","Kullu","Himachal Pradesh",NA,2,"20",422724.960723,5379324333.97,24.0073040397173
"6","Mandi","Himachal Pradesh",NA,2,"22",335860.110422,3867140398.41,26.008328136563
"7","Shimla","Himachal Pradesh",NA,2,"23",551672.202552,5007028594.4,26.4092392277776
"8","Sirmaur","Himachal Pradesh",NA,2,"24",349597.166859,2755326032.86,36.2753793556302
"9","Solan","Himachal Pradesh",NA,2,"25",322063.135916,1889942391.94,33.5847427334166
"10","Una","Himachal Pradesh",NA,2,"26",248758.594242,1509874680.54,42.5170539959343
"11","Kinnaur","Himachal Pradesh",NA,2,"19",495434.811981,6364783590.95,23.6838549446626
"12","Lahul & Spiti","Himachal Pradesh",NA,2,"21",925110.633258,13723849956,22.0949127123122
