"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Balod","Chhattisgarh",NA,22,"646",415028.307589,3249540771.94,69.3674800537408
"2","Baloda Bazar","Chhattisgarh",NA,22,"644",485313.897069,4495468285.35,76.383721161933
"3","Balrampur","Chhattisgarh",NA,22,"649",652255.344408,6029078270.35,42.7580906766626
"4","Bastar","Chhattisgarh",NA,22,"374",569531.125976,5228700398.79,42.7988136092221
"5","Bemetara","Chhattisgarh",NA,22,"650",379763.712487,2155425658.04,82.8633176355521
"6","Bijapur","Chhattisgarh",NA,22,"636",717764.340336,8962483683.11,36.4195170702598
"7","Bilaspur","Chhattisgarh",NA,22,"375",447081.507856,3410747938.82,70.3684713197692
"8","Gaurela-Pendra-Marwahi","Chhattisgarh",NA,22,"734",269819.936493,1918218806.12,47.8919504500628
"9","Dakshin Bastar Dantewada","Chhattisgarh",NA,22,"376",460460.217934,2733461710.07,34.6857775769592
"10","Dhamtari","Chhattisgarh",NA,22,"377",432007.387399,3943167561.26,71.1074268442147
"11","Durg","Chhattisgarh",NA,22,"378",341679.975518,2214112656.5,84.2736949518677
"12","Gariyaband","Chhattisgarh",NA,22,"645",512147.53487,4675476420.45,60.7450979575807
"13","Janjgir - Champa","Chhattisgarh",NA,22,"379",555226.652558,4321848604.73,71.9387204267834
"14","Jashpur","Chhattisgarh",NA,22,"380",501891.723783,5627659956.3,45.4773569223578
"15","Kabirdham","Chhattisgarh",NA,22,"382",434302.991254,4037905476.31,64.1553427400487
"16","Uttar Bastar Kanker","Chhattisgarh",NA,22,"381",645466.929563,6944506416.57,50.0688353981908
"17","Kondagaon","Chhattisgarh",NA,22,"643",478627.416097,4908720155.87,44.6766682173818
"18","Korba","Chhattisgarh",NA,22,"383",484704.9238,6347595180.58,54.7042244265196
"19","Korea","Chhattisgarh",NA,22,"384",540618.790013,6348856686.2,43.8813711071371
"20","Mahasamund","Chhattisgarh",NA,22,"385",522464.375447,4579577727.43,68.5621418650263
"21","Mungeli","Chhattisgarh",NA,22,"647",435239.289606,2672352997.36,68.9774919674563
"22","Narainpur","Chhattisgarh",NA,22,"637",437577.549867,3772332359.34,42.1634700342833
"23","Raigarh","Chhattisgarh",NA,22,"386",713130.615899,6781679873.32,61.2364950976406
"24","Raipur","Chhattisgarh",NA,22,"387",291574.899423,2798755299.06,89.6443966406332
"25","Raj Nandgaon","Chhattisgarh",NA,22,"388",766223.946513,7780164358.47,68.5487824326084
"26","Sukma","Chhattisgarh",NA,22,"642",629317.531683,5319456684.29,33.5209304550454
"27","Surajpur","Chhattisgarh",NA,22,"648",585291.43373,5245401635.62,46.487180222905
"28","Surguja","Chhattisgarh",NA,22,"389",441465.848585,3852662852.28,45.0398030449669
