"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Anantapur","Andhra Pradesh",NA,28,"502",1524559.50705,19165556643.4,32.9497589705361
"2","Chittoor","Andhra Pradesh",NA,28,"503",1287744.15934,14907547828.4,25.4535636065804
"3","Y S R Kadapa","Andhra Pradesh",NA,28,"504",796144.609422,15155269448.5,30.7046782376378
"4","East Godavari","Andhra Pradesh",NA,28,"505",1004317.88398,12589817609,32.8959270630503
"5","Guntur","Andhra Pradesh",NA,28,"506",800649.102983,11159896511.9,32.1456741828583
"6","Krishna","Andhra Pradesh",NA,28,"510",832126.822502,8561151314.05,32.8187510249114
"7","Kurnool","Andhra Pradesh",NA,28,"511",894651.282742,17077547954.3,31.4679109856297
"8","Potti Sriramulu Nellore","Andhra Pradesh",NA,28,"515",669181.757083,13056481834.4,27.728870104741
"9","Prakasam","Andhra Pradesh",NA,28,"517",875362.028126,17294622747,28.4272494517431
"10","Srikakulam","Andhra Pradesh",NA,28,"519",691140.075227,5663014977.95,32.5783517767225
"11","Visakhapatnam","Andhra Pradesh",NA,28,"520",977103.623218,11257537814.7,31.3516269159499
"12","Vizianagaram","Andhra Pradesh",NA,28,"521",826083.795254,5964663298.64,33.730970500045
"13","West Godavari","Andhra Pradesh",NA,28,"523",622619.446135,8121097747.97,34.0226388981017
