"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Dhalai","Tripura",NA,16,"269",368965.011049,2191520472.87,58.2410246134884
"2","Gomati","Tripura",NA,16,"654",343493.496675,1556344729.98,72.6752771940327
"3","Khowai","Tripura",NA,16,"652",231379.594803,1011187255.24,64.045161735266
"4","North Tripura","Tripura",NA,16,"270",316924.45215,1293406531.9,49.7728353418621
"5","Sepahijala","Tripura",NA,16,"653",261051.758026,1018378012.77,79.8854007945434
"6","South Tripura","Tripura",NA,16,"271",340006.207642,1405518823.23,78.7065808479294
"7","Unokoti","Tripura",NA,16,"655",185617.930283,662746054.249,54.7816209290386
"8","West Tripura","Tripura",NA,16,"272",191097.683549,906730685.695,75.4163777114225
