"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Agar Malwa","Madhya Pradesh",NA,23,"667",374654.342397,2626911357.63,51.8732502337603
"2","Disputed (Ratlam & Mandsaur)","Madhya Pradesh",NA,23,NA,12984.5852133,1263972.38529,52.5999984741211
"3","Alirajpur","Madhya Pradesh",NA,23,"639",481486.802446,3206796950.71,41.3441769447417
"4","Anuppur","Madhya Pradesh",NA,23,"390",563005.804088,3628974441.69,45.3773308597408
"5","Ashoknagar","Madhya Pradesh",NA,23,"391",428702.341314,4554381637.07,54.3323583357354
"6","Balaghat","Madhya Pradesh",NA,23,"392",711298.24102,8904866537.21,50.7730214409898
"7","Barwani","Madhya Pradesh",NA,23,"393",493718.64227,5227384390.81,48.9198004474182
"8","Betul","Madhya Pradesh",NA,23,"394",726502.595917,9679103297.64,43.3059017172422
"9","Bhind","Madhya Pradesh",NA,23,"395",592535.66904,4298496364.6,100.891516126295
"10","Bhopal","Madhya Pradesh",NA,23,"396",378109.021909,2660915967.95,52.2557156647043
"11","Burhanpur","Madhya Pradesh",NA,23,"397",333906.407092,3107225756.72,50.3922313234725
"12","Chhatarpur","Madhya Pradesh",NA,23,"398",996335.291108,8344542362.19,63.1141658461408
"13","Chhindwara","Madhya Pradesh",NA,23,"399",814856.774768,11368092974.3,43.4646627795349
"14","Damoh","Madhya Pradesh",NA,23,"400",634967.980268,7021653982.39,51.6117361578364
"15","Datia","Madhya Pradesh",NA,23,"401",560683.831208,2585631791.92,82.1150734231876
"16","Dewas","Madhya Pradesh",NA,23,"402",851413.881034,6745244327.27,50.712384670757
"17","Dhar","Madhya Pradesh",NA,23,"403",594125.338396,7847408490.51,50.060781200407
"18","Dindori","Madhya Pradesh",NA,23,"404",640341.910012,5526516790.04,40.0802637676095
"19","East Nimar","Madhya Pradesh",NA,23,"405",605136.192156,7190925042.04,52.4312224573416
"20","Guna","Madhya Pradesh",NA,23,"406",674934.75869,6135291987.37,52.8999828927548
"21","Gwalior","Madhya Pradesh",NA,23,"407",392206.192423,4392940982.78,86.0299864559962
"22","Harda","Madhya Pradesh",NA,23,"408",309197.246476,3215630808.74,52.919254114413
"23","Hoshangabad","Madhya Pradesh",NA,23,"409",569919.854542,6432088919.26,52.4701331893226
"24","Indore","Madhya Pradesh",NA,23,"410",517693.363712,3759399157.64,49.5364708071091
"25","Jabalpur","Madhya Pradesh",NA,23,"411",576720.818612,4898395541.86,51.403956995386
"26","Jhabua","Madhya Pradesh",NA,23,"412",340600.114766,3311826109.49,45.7103673979885
"27","Katni","Madhya Pradesh",NA,23,"413",635802.349503,4859759769.97,50.7191531468419
"28","Mandla","Madhya Pradesh",NA,23,"415",711614.128094,7226559285.01,43.8063863023202
"29","Mandsaur","Madhya Pradesh",NA,23,"416",557027.222995,5334714119.28,55.4374553924247
"30","Morena","Madhya Pradesh",NA,23,"417",630246.717112,4802761551.71,97.6016292875684
"31","Narshimapura","Madhya Pradesh",NA,23,"418",556315.978342,4939286406.1,51.3306419802699
"32","Nimach","Madhya Pradesh",NA,23,"419",646368.776792,4122459893.05,53.5309518179063
"33","Panna","Madhya Pradesh",NA,23,"420",884627.45494,6826021233.04,56.2205218278548
"34","Raisen","Madhya Pradesh",NA,23,"421",787204.114979,8152214139.07,51.7722526980063
"35","Rajgarh","Madhya Pradesh",NA,23,"422",463591.495563,5929180665.42,52.6316231741829
"36","Ratlam","Madhya Pradesh",NA,23,"423",559323.236737,4668623536.01,49.9442904816674
"37","Rewa","Madhya Pradesh",NA,23,"424",658363.875647,6055963203.37,65.0372191378252
"38","Sagar","Madhya Pradesh",NA,23,"425",1022387.60783,9872214409.74,50.5806409067692
"39","Satna","Madhya Pradesh",NA,23,"426",1018097.64877,7235778804.65,61.8531734269514
"40","Sehore","Madhya Pradesh",NA,23,"427",863302.649579,6317351567.76,52.6130553324604
"41","Seoni","Madhya Pradesh",NA,23,"428",705550.062739,8430271480.59,46.4578209446323
"42","Shahdol","Madhya Pradesh",NA,23,"429",603888.986361,5462047268.87,45.7356934261449
"43","Shajapur","Madhya Pradesh",NA,23,"430",447265.160583,3329015915.92,51.8833795004156
"44","Sheopur","Madhya Pradesh",NA,23,"431",548588.244768,6358711018.75,64.1625514362329
"45","Shivpuri","Madhya Pradesh",NA,23,"432",853079.685333,9894701466.27,57.4933786159204
"46","Sidhi","Madhya Pradesh",NA,23,"433",519227.094551,4591745506.26,52.7471088402298
"47","Singrauli","Madhya Pradesh",NA,23,"638",511442.161799,5543913865.65,46.3400875688027
"48","Tikamgarh","Madhya Pradesh",NA,23,"434",422276.717262,3580441830.41,60.0026221069366
"49","Ujjain","Madhya Pradesh",NA,23,"435",723405.046575,5867143638.21,48.7791545336979
"50","Umaria","Madhya Pradesh",NA,23,"436",466708.658878,4402124147.08,45.0759288076327
"51","Vidisha","Madhya Pradesh",NA,23,"437",682297.631404,7022138501.29,52.5901649955329
"52","West Nimar","Madhya Pradesh",NA,23,"414",675714.323097,7727280873.24,53.4036711274426
"53","Nivari","Madhya Pradesh",NA,23,"722",478725.88532,1271951993.15,64.8365673006925
