"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Agra","Uttar Pradesh",NA,9,"118",787929.478603,3902791485.68,108.602407072896
"2","Aligarh","Uttar Pradesh",NA,9,"119",498779.443328,3585997343.22,97.5682874709087
"3","Ambedkarnagar","Uttar Pradesh",NA,9,"121",384817.943754,2242460943.92,102.67290902857
"4","Amethi","Uttar Pradesh",NA,9,"640",396742.737994,2336051998.92,104.690271811672
"5","Amroha","Uttar Pradesh",NA,9,"154",364954.379714,2379925279.25,62.7797096859316
"6","Auraiya","Uttar Pradesh",NA,9,"122",279215.510357,1944745434.89,100.761310873579
"7","Azamgarh","Uttar Pradesh",NA,9,"123",498671.919852,4057541804.43,104.313175204803
"8","Budaun","Uttar Pradesh",NA,9,"133",449698.119253,4112357065.94,85.7887761441739
"9","Baghpat","Uttar Pradesh",NA,9,"124",218392.986381,1281800382.94,91.8009774685119
"10","Bahraich","Uttar Pradesh",NA,9,"125",578747.615415,4776946197.08,85.1004025111853
"11","Ballia","Uttar Pradesh",NA,9,"126",435847.66576,2878350458.87,100.378876216449
"12","Balrampur","Uttar Pradesh",NA,9,"127",461650.343501,3225738696.21,74.8699787997225
"13","Banda","Uttar Pradesh",NA,9,"128",666400.813442,4283882474.25,85.6843982876935
"14","Barabanki","Uttar Pradesh",NA,9,"129",489434.669605,3707078880.88,101.735341815491
"15","Bareilly","Uttar Pradesh",NA,9,"130",516176.115931,3985895113.98,75.4963249862213
"16","Basti","Uttar Pradesh",NA,9,"131",371752.223808,2684574246.21,98.5153186221989
"17","Bhadohi","Uttar Pradesh",NA,9,"179",273256.724924,976420388.67,100.320528845542
"18","Bijnor","Uttar Pradesh",NA,9,"132",381323.120955,4465254228.84,51.6936363757743
"19","Bulandshahr","Uttar Pradesh",NA,9,"134",383798.39097,3402373200.41,87.5639595127596
"20","Chandauli","Uttar Pradesh",NA,9,"135",383495.880059,2452050714.15,90.0966137049987
"21","Chitrakoot","Uttar Pradesh",NA,9,"136",533683.22727,3070689929.18,77.9981390870725
"22","Deoria","Uttar Pradesh",NA,9,"137",396811.755719,2443591235.77,103.507062015721
"23","Ayodhya","Uttar Pradesh",NA,9,"140",368810.21522,2590690408.88,101.613739251733
"24","Etah","Uttar Pradesh",NA,9,"138",494594.144675,2338665093.01,99.5855011250309
"25","Etawah","Uttar Pradesh",NA,9,"139",330796.843076,2241659390.77,105.530838621201
"26","Farrukhabad","Uttar Pradesh",NA,9,"141",342912.660939,2104537712.84,97.783313368295
"27","Fatehpur","Uttar Pradesh",NA,9,"142",437048.116237,4012799500.53,101.894620062505
"28","Firozabad","Uttar Pradesh",NA,9,"143",389477.998889,2333857122.83,106.673219436557
"29","Gautambudhnagar","Uttar Pradesh",NA,9,"144",310305.176941,1367580032.39,103.933424103413
"30","Gazipur","Uttar Pradesh",NA,9,"146",413354.730223,3252688582.04,102.28394036906
"31","Ghaziabad","Uttar Pradesh",NA,9,"145",217418.360053,882411235.643,101.066380853628
"32","Gonda","Uttar Pradesh",NA,9,"147",513177.22554,3838936965.91,95.921183247216
"33","Gorakhpur","Uttar Pradesh",NA,9,"148",548846.092662,3208369037.58,101.253906011449
"34","Hamirpur","Uttar Pradesh",NA,9,"149",504533.836464,3748844216.32,85.8026721267481
"35","Hapur","Uttar Pradesh",NA,9,"661",246171.836916,1081374944.17,78.7079843203183
"36","Hardoi","Uttar Pradesh",NA,9,"150",580623.300445,5776645684,98.4054820801518
"37","Hathras","Uttar Pradesh",NA,9,"163",349333.621158,1720320995.72,101.886633266536
"38","Jalaun","Uttar Pradesh",NA,9,"151",494340.825015,4393854037.36,89.2522907656191
"39","Jaunpur","Uttar Pradesh",NA,9,"152",539279.974958,3882282959.9,107.280220307006
"40","Jhansi","Uttar Pradesh",NA,9,"153",994300.228356,4832822966.54,72.5916594327119
"41","Kannauj","Uttar Pradesh",NA,9,"155",309691.034736,2015119811.22,100.521337526375
"42","Kanpur","Uttar Pradesh",NA,9,"157",461116.276305,2888527071.27,105.805350030368
"43","Kanpur Dehat","Uttar Pradesh",NA,9,"156",371011.676774,3041183145.97,100.089410128244
"44","Kasganj","Uttar Pradesh",NA,9,"633",323363.355679,1891694043.51,94.2131135247237
"45","Kaushambi","Uttar Pradesh",NA,9,"158",263022.695396,1721997321.45,98.2545736776974
"46","Kheri","Uttar Pradesh",NA,9,"159",689908.296496,7431766489.61,77.5254301829607
"47","Kushinagar","Uttar Pradesh",NA,9,"160",457301.798355,2771299334.52,99.6718466709721
"48","Lalitpur","Uttar Pradesh",NA,9,"161",435480.560291,4850700924.82,57.8882846339255
"49","Lucknow","Uttar Pradesh",NA,9,"162",370767.28997,2438586023.72,105.055695617778
"50","Mahoba","Uttar Pradesh",NA,9,"165",556516.1293,3143315712.71,76.4730962099093
"51","Mainpuri","Uttar Pradesh",NA,9,"166",376263.539184,2640472978.64,103.686657857626
"52","Mathura","Uttar Pradesh",NA,9,"167",407498.875049,3225493065.84,104.581132508598
"53","Mau","Uttar Pradesh",NA,9,"168",306512.503819,1670689971.45,103.028639244937
"54","Meerut","Uttar Pradesh",NA,9,"169",320531.344721,2512807895.47,74.9456467610583
"55","Mirzapur","Uttar Pradesh",NA,9,"170",574005.627614,4246825888.35,77.1791248771777
"56","Moradabad","Uttar Pradesh",NA,9,"171",396486.125322,1887455028.06,62.0274968040677
"57","Muzaffarnagar","Uttar Pradesh",NA,9,"172",343519.238829,2657072857.89,70.8376871608378
"58","Pilibhit","Uttar Pradesh",NA,9,"173",596380.046465,3641734881.07,65.6403609799984
"59","Pratapgarh","Uttar Pradesh",NA,9,"174",526670.54427,3572749461.47,105.662796776417
"60","Raibeareli","Uttar Pradesh",NA,9,"175",502659.717951,3784149807.08,105.087682030353
"61","Rampur","Uttar Pradesh",NA,9,"176",405602.549693,2291226529.82,63.5036417241196
"62","Saharanpur","Uttar Pradesh",NA,9,"177",374467.833326,3612815417.71,64.0129206123124
"63","Sambhal","Uttar Pradesh",NA,9,"659",399084.153249,2348855076.12,76.4295939036016
"64","Santkabirnagar","Uttar Pradesh",NA,9,"178",392258.325432,1582121286.36,99.6547745560506
"65","Shahjahanpur","Uttar Pradesh",NA,9,"180",695415.335571,4169028949.41,91.074723974514
"66","Shamli","Uttar Pradesh",NA,9,"660",201783.642123,1226415733.77,81.2907515654512
"67","Shrawasti","Uttar Pradesh",NA,9,"181",302869.700758,1864596528.91,72.3227607061913
"68","Siddharthnagar","Uttar Pradesh",NA,9,"182",415859.377247,2793412094.75,80.7058992373223
"69","Sitapur","Uttar Pradesh",NA,9,"183",540535.807958,5539949266.85,93.336401258544
"70","Sonbhadra","Uttar Pradesh",NA,9,"184",572494.990881,6621089502.62,48.1012027197312
"71","Sultanpur","Uttar Pradesh",NA,9,"185",461970.437515,2575456889.09,102.493170727433
"72","Unnao","Uttar Pradesh",NA,9,"186",535830.605333,4401976319.38,105.539117168263
"73","Varanasi","Uttar Pradesh",NA,9,"187",293845.549548,1474823560.96,100.953314506069
"74","Prayagraj","Uttar Pradesh",NA,9,"120",578851.533115,5265361023.01,96.8014401384694
"75","Maharajganj","Uttar Pradesh",NA,9,"164",404449.083066,2839810871.64,82.1428462060147
