"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Almora","Uttarakhand",NA,5,"45",394957.247649,3054451807.95,25.5181667174808
"2","Bageshwar","Uttarakhand",NA,5,"46",315673.159842,2173075913.4,26.6446489492758
"3","Champawat","Uttarakhand",NA,5,"48",271591.235892,1715186952.97,28.6138439243333
"4","Dehradun","Uttarakhand",NA,5,"49",503253.16431,3019033005.11,41.8555402912084
"5","Haridwar","Uttarakhand",NA,5,"50",287340.472634,2225504964,56.532082437593
"6","Nainital","Uttarakhand",NA,5,"51",434894.751473,3869769679.39,37.607939649378
"7","Pauri Garhwal","Uttarakhand",NA,5,"52",414490.254454,5131341078.8,32.2666208077289
"8","Rudraprayag","Uttarakhand",NA,5,"54",249893.932643,1936521456.1,29.3841727191524
"9","Tehri Garhwal","Uttarakhand",NA,5,"55",546162.691053,3806994202.48,31.068407994554
"10","Udham Singh Nagar","Uttarakhand",NA,5,"56",568974.772093,2587998006.06,49.0179324747792
"11","Chamoli","Uttarakhand",NA,5,"47",522183.067166,7618644992.75,27.4003867928841
"12","Pithoragarh","Uttarakhand",NA,5,"53",596635.247595,7034591198.61,24.7526097535707
"13","Uttarkashi","Uttarakhand",NA,5,"57",669211.278143,7791379716.95,29.2110230983698
