"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Baksa","Assam",NA,18,"616",511427.737459,2575624328.21,32.0503154595485
"2","Barpeta","Assam",NA,18,"280",415011.197683,2141792153.47,37.313871766888
"3","Biswanath","Assam","Not Verified on Ground",18,"705",226550.26312,1720650757.74,24.7730788033418
"4","Bongaigaon","Assam",NA,18,"281",278101.508465,938074332.777,34.7972844755879
"5","Cachar","Assam",NA,18,"282",433439.258272,3638666626.69,39.4543759899161
"6","Charaideo","Assam","Not Verified on Ground",18,"708",224632.571325,1036074512.95,27.3092006226036
"7","Chirang","Assam",NA,18,"612",310549.778464,1962996248.16,35.6236921906748
"8","Darrang","Assam",NA,18,"283",331697.061676,1309522556.97,33.2258369558862
"9","Dhemaji","Assam",NA,18,"284",401430.529966,2381017115.25,19.5236746256038
"10","Dhubri","Assam","NOT VERIFIED",18,"285",484020.123035,1514111328.26,44.4626789728197
"11","Dibrugarh","Assam",NA,18,"286",441649.091418,3275833020.17,23.1276921218412
"12","Dima Hasao","Assam",NA,18,"299",499690.772337,4698230544.1,33.741303023752
"13","Goalpara","Assam",NA,18,"287",330027.809523,1847011606.2,40.6681301303651
"14","Golaghat","Assam","NOT VERIFIED",18,"288",611752.908683,3389099120.73,29.2890035535237
"15","Hailakandi","Assam",NA,18,"289",262606.792407,1278171571.75,42.2793840081883
"16","Hojai","Assam","Not Verified on Ground",18,"709",252272.500632,1401079754.05,35.7399505905543
"17","Jorhat","Assam","NOT VERIFIED",18,"290",348007.022778,1976286241.87,28.6461170932121
"18","Kamrup Metro","Assam",NA,18,"618",217860.150882,924998183.289,40.2025360518856
"19","Kamrup Rural","Assam",NA,18,"291",533767.454399,3002073957.67,42.3831842076068
"20","Karbi Anglong","Assam","Not Verified on Ground",18,"292",793115.495346,7052761470.84,31.5738981708207
"21","Karimganj","Assam",NA,18,"293",253526.555935,1743612777.2,44.7963649060585
"22","Kokrajhar","Assam",NA,18,"294",370102.899458,3005469475,38.2452548272829
"23","Lakhimpur","Assam",NA,18,"295",372367.885033,2888806626.55,22.9442069965849
"24","Majuli","Assam","Not Verified on Ground",18,"706",187633.777041,760410814.687,27.748842322175
"25","Marigaon","Assam",NA,18,"296",225512.751862,1483599654.87,38.6987068929666
"26","Nagaon","Assam","NOT VERIFIED",18,"297",595983.805401,2482159569.62,34.277882410441
"27","Nalbari","Assam",NA,18,"298",235768.401907,1020897077.31,36.9198439049147
"28","Sibsagar","Assam","NOT VERIFIED",18,"300",266939.348078,1512179589.01,28.8062318769376
"29","Sonitpur","Assam","NOT VERIFIED",18,"301",302021.098402,3318736009.52,27.9298546205625
"30","South Salmara Mancachar","Assam","Not Verified on Ground",18,"707",234231.827116,657868873.699,54.7357785799622
"31","Tinsukia","Assam",NA,18,"302",419712.54077,3677171930.98,19.654058674143
"32","Udalguri","Assam",NA,18,"617",363765.338478,1977227539.25,29.3276944819051
"33","West Karbi Anglong","Assam","Not Verified on Ground",18,"710",430785.104037,2957339839.67,34.7497864249325
