"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Alappuzha","Kerala",NA,32,"554",295137.808916,1453745489.94,22.910666095256
"2","Ernakulam","Kerala",NA,32,"555",414199.277363,3115071285.48,22.6166133854618
"3","Idukki","Kerala",NA,32,"556",578310.550974,4444596050.07,14.2174431301963
"4","Kannur","Kerala",NA,32,"557",339137.096022,2976762848.44,18.5851700536431
"5","Kasaragod","Kerala",NA,32,"558",344680.788408,1992999271.91,18.7901121279259
"6","Kollam","Kerala",NA,32,"559",351983.519476,2552846259.8,18.6027430518865
"7","Kottayam","Kerala",NA,32,"560",322325.875322,2253782890.44,21.0069174935316
"8","Kozhikode","Kerala",NA,32,"561",296315.819185,2364872476.2,22.2585705596008
"9","Malappuram","Kerala",NA,32,"562",405137.235747,3589215093.22,20.5867655562197
"10","Palakkad","Kerala",NA,32,"563",552162.549972,4537723823.85,16.5740720206892
"11","Pattanamthitta","Kerala",NA,32,"564",408012.025134,2716777604.46,18.0868880009037
"12","Thiruvananthapuram","Kerala",NA,32,"565",284814.505496,2260982434.45,22.0312455742858
"13","Trissur","Kerala",NA,32,"566",401612.683888,3066580320.35,19.8800677894674
"14","Wayanad","Kerala",NA,32,"567",284707.6868,2142431632.15,13.6372128806161
