"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Araria","Bihar",NA,10,"188",397908.321198,2686772169.96,72.3205289187279
"2","Arwal","Bihar",NA,10,"611",189576.967619,613477203.87,85.079495583434
"3","Aurangabad","Bihar",NA,10,"189",373783.576346,3179298175.38,75.2503955754271
"4","Banka","Bihar",NA,10,"190",343662.222087,2909647845.79,68.7619191188714
"5","Begusarai","Bihar",NA,10,"191",364147.274207,1850111712.5,91.812023143153
"6","Kaimur","Bihar",NA,10,"200",384239.495375,3240662368.19,76.6723790915952
"7","Bhagalpur","Bihar",NA,10,"192",385555.727837,2459213522.55,79.9066491475301
"8","Bhojpur","Bihar",NA,10,"193",288088.090219,2299138052.22,90.809887940109
"9","Buxar","Bihar",NA,10,"194",287685.791899,1636235724.35,93.5548057336463
"10","Darbhanga","Bihar",NA,10,"195",475578.743869,2423611347.5,93.6125781351513
"11","Gaya","Bihar",NA,10,"196",620896.445152,4777635300.79,73.245391784433
"12","Gopalganj","Bihar",NA,10,"197",347790.472493,1961517112.42,108.886315005235
"13","Jahanabad","Bihar",NA,10,"199",224922.658499,901901119.093,84.1550623617296
"14","Jamui","Bihar",NA,10,"198",405324.44672,2982271479.05,70.3646701987865
"15","Katihar","Bihar",NA,10,"201",478940.316666,2928810938.66,82.5203592717366
"16","Khagaria","Bihar",NA,10,"202",296638.070544,1435972672.36,89.5837364162181
"17","Kishanganj","Bihar",NA,10,"203",397841.355582,1857761059.02,62.066795006544
"18","Lakhisarai","Bihar",NA,10,"204",227780.124272,1174137501.56,79.9024597768159
"19","Madhepura","Bihar",NA,10,"205",348104.047254,1739730361.65,84.5113222038696
"20","Madhubani","Bihar",NA,10,"206",479370.374181,3372295594.54,84.000327247133
"21","Munger","Bihar",NA,10,"207",268751.408351,1357713390.56,79.2172080098255
"22","Muzaffarpur","Bihar",NA,10,"208",427403.514512,3060657836.91,101.329248910917
"23","Nalanda","Bihar",NA,10,"209",407293.6663,2278188021.64,86.6381775669706
"24","Nawada","Bihar",NA,10,"210",381420.360691,2396138340.45,78.2762104108074
"25","Pashchimi Champaran","Bihar",NA,10,"211",489853.432319,5042948136.83,90.1690979951642
"26","Patna","Bihar",NA,10,"212",567476.304231,3073915633.24,92.3773016079843
"27","Purbi Champaran","Bihar",NA,10,"213",479736.562606,3827052231.14,98.7158879318475
"28","Purnia","Bihar",NA,10,"214",463494.154554,3108045538.37,81.0368071017387
"29","Rohtas","Bihar",NA,10,"215",408552.312694,3699484570.93,77.082202606579
"30","Saharsa","Bihar",NA,10,"216",307404.102257,1605644052.47,89.3592347671799
"31","Samastipur","Bihar",NA,10,"217",463099.315303,2573275110.8,97.430344000707
"32","Saran","Bihar",NA,10,"218",322369.317165,2542123199.52,99.7106493724353
"33","Sheikhpura","Bihar",NA,10,"219",225076.137922,652669229.119,82.2424597550332
"34","Sheohar","Bihar",NA,10,"220",172353.880338,428234734.133,96.5502672271142
"35","Sitamarhi","Bihar",NA,10,"221",381932.319218,2109556706.2,92.1108987303477
"36","Siwan","Bihar",NA,10,"222",311945.385384,2137754677.17,105.893603625156
"37","Supaul","Bihar",NA,10,"223",373518.129118,2331739304.96,77.4578389515316
"38","Vaishali","Bihar",NA,10,"224",264300.277306,1961030614.86,99.1976583688062
