"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Anugul","Odisha",NA,21,"344",605948.929708,6144341883.1,52.0948024350194
"2","Bolangir (Balangir)","Odisha",NA,21,"345",560766.022679,6318357757.31,55.982398315975
"3","Balasore (Baleshwar)","Odisha",NA,21,"346",554559.334113,3581349597.4,47.9106790928477
"4","Baragarh","Odisha",NA,21,"347",603877.347305,5624674392.32,66.2069213314028
"5","Bhadrak","Odisha",NA,21,"348",356631.204184,2415828025.29,45.3028623055762
"6","Cuttack","Odisha",NA,21,"350",623347.49238,3720048022.7,48.2857848193038
"7","Deogarh","Odisha",NA,21,"351",409810.126003,2847432415.71,52.458741351548
"8","Dhenkanal","Odisha",NA,21,"352",407088.676251,4299977172.51,52.2431080366275
"9","Gajapati","Odisha",NA,21,"353",505662.570221,4001409962.53,27.9529069797137
"10","Ganjam","Odisha",NA,21,"354",679720.081487,8115391150.29,33.573488585666
"11","Jagatsinghpur","Odisha",NA,21,"355",262528.018579,1674095798.7,45.2552850539685
"12","Jajapur","Odisha",NA,21,"356",433131.244933,2794481950.2,46.4528036082069
"13","Jharsuguda","Odisha",NA,21,"357",357233.919033,1995409611.59,62.1762160258688
"14","Kalahandi","Odisha",NA,21,"358",636149.204257,7632727250.79,44.3986899587509
"15","Kandhamal","Odisha",NA,21,"359",644946.622146,7745678774.95,32.3557647026898
"16","Kendraparha","Odisha",NA,21,"360",406097.545427,2444274717.33,45.5302923690893
"17","Keonjhar (Kendujhar)","Odisha",NA,21,"361",664391.230171,7996780949.92,52.1220079088571
"18","Khordha","Odisha",NA,21,"362",640351.921239,2781806247.82,43.4955669959364
"19","Koraput","Odisha",NA,21,"363",790931.634247,8131518072.43,33.7962408496829
"20","Malkangiri","Odisha",NA,21,"364",502153.527855,5614453548.26,32.3765778711827
"21","Mayurbhanj","Odisha",NA,21,"365",778904.112728,10022504333.2,51.8042186023446
"22","Nabarangapur","Odisha",NA,21,"366",557230.080145,5275175542.99,44.10602343037
"23","Nayagarh","Odisha",NA,21,"367",434221.305679,3763289195.27,40.2895669488786
"24","Nuaparha","Odisha",NA,21,"368",419771.819358,3711854913.37,53.4468776171999
"25","Puri","Odisha",NA,21,"369",488488.405068,3354937698.23,41.2544180813928
"26","Rayagarha","Odisha",NA,21,"370",790225.663471,7104622187.63,33.1173008624156
"27","Sambalpur","Odisha",NA,21,"371",647721.289195,6406160531.77,58.6729492350289
"28","Subarnapur","Odisha",NA,21,"372",339504.546783,2277766431.05,57.2491558060176
"29","Sundargarh","Odisha",NA,21,"373",809479.772383,9359929189.09,55.4870629923904
"30","Baudh (Bauda)","Odisha",NA,21,"349",404642.339121,2992913213.53,45.4975899447363
