"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","East Garo Hills","Meghalaya",NA,17,"273",241796.988966,1521778459.58,34.0743260368189
"2","East Khasi Hills","Meghalaya",NA,17,"274",331204.469585,2735979477.27,27.1051459613539
"3","East Jaintia Hills","Meghalaya",NA,17,"657",266454.388424,1937293116.24,32.4461953353408
"4","South Garo Hills","Meghalaya",NA,17,"277",286551.38231,1765025387.45,48.0299307682268
"5","West Garo Hills","Meghalaya",NA,17,"278",363414.270078,2559181396.6,44.2971608654297
"6","West Khasi Hills","Meghalaya",NA,17,"279",414577.576695,3772646067.01,26.220634672073
"7","Ri-Bhoi","Meghalaya",NA,17,"276",404635.826002,2282352415.65,34.3815695939019
"8","South West Khasi Hills","Meghalaya",NA,17,"658",248011.35333,1256652986,31.6387245882343
"9","South West Garo Hills","Meghalaya",NA,17,"663",145899.015702,805376078.214,54.3049209865386
"10","North Garo Hills","Meghalaya",NA,17,"656",282971.272839,1201174095.44,37.2897143345423
"11","West Jaintia Hills","Meghalaya",NA,17,"275",299814.132442,1730292078.37,30.8961892656743
