"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Paren","Nagaland",NA,13,"613",291328.073478,1758397406.13,30.4266249573749
"2","Phek","Nagaland",NA,13,"248",289810.111563,1801582664.52,23.5798898977688
"3","Wokha","Nagaland",NA,13,"250",255022.831654,1548103979.91,28.397360893274
"4","Dimapur","Nagaland",NA,13,"244",260538.99712,734104449.28,33.1356527949641
"5","Kohima","Nagaland",NA,13,"245",220033.109146,1264748302.39,25.5293616739715
"6","Kiphire","Nagaland",NA,13,"614",191252.727412,1087316396.08,22.3683726884752
"7","Zunheboto","Nagaland",NA,13,"251",299587.30264,1516332115.81,23.6932929109483
"8","Mokokchung","Nagaland",NA,13,"246",306785.579198,1545211286.71,26.7235719792388
"9","Mon","Nagaland",NA,13,"247",297229.426625,2097915195.03,25.2389145873447
"10","Tuensang","Nagaland",NA,13,"249",275601.531757,2053524533.16,22.2552991952241
"11","Longleng","Nagaland",NA,13,"615",186647.283069,564216056.718,26.2901293221562
