"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Morbi","Gujarat",NA,24,"673",539476.764723,4791280260.47,46.6681627956899
"2","Ahmadabad","Gujarat",NA,24,"438",857254.094647,6966373705.03,59.2918445940743
"3","Anand","Gujarat",NA,24,"440",393046.690523,3054307464.84,46.3088696171213
"4","Devbhumi Dwarka","Gujarat",NA,24,"674",661732.98653,4002784449.66,47.216340031855
"5","Jamnagar","Gujarat",NA,24,"447",737428.071884,5694270687.82,49.5155114215319
"6","Kachchh","Gujarat",NA,24,"449",2097006.99668,39131654163.7,49.4675473830665
"7","Bhavnagar","Gujarat",NA,24,"443",505012.240221,6514338031.35,43.1252372285217
"8","Bharuch","Gujarat",NA,24,"442",802579.901076,4745943030.65,46.2495080748529
"9","Surat","Gujarat",NA,24,"459",523086.278179,4175888238.05,48.5655409311098
"10","Navsari","Gujarat",NA,24,"453",327510.170205,2126084215.16,38.8466658942417
"11","Valsad","Gujarat",NA,24,"462",503925.528964,2846762616.4,33.8905615003975
"12","Aravalli","Gujarat",NA,24,"672",424917.886918,3030307976.93,46.8643843522044
"13","Banas Kantha","Gujarat",NA,24,"441",916373.290066,10349019412.6,50.2991546757715
"14","Chhota Udepur","Gujarat",NA,24,"668",515414.994477,3326713607.3,45.0833120516403
"15","Dahod","Gujarat",NA,24,"445",397208.123608,3503175922,43.9203721887975
"16","Dangs","Gujarat",NA,24,"444",267412.238721,1703425588.23,33.6786639034712
"17","Gir Somnath","Gujarat",NA,24,"675",396544.453205,2549589437.78,36.2353417927353
"18","Junagadh","Gujarat",NA,24,"448",650849.605246,5922423712.61,38.484146882017
"19","Mahisagar","Gujarat",NA,24,"669",381868.168921,2415516260.6,47.1167189477192
"20","Narmada","Gujarat",NA,24,"452",404799.252931,2713805394.93,42.1810390728542
"21","Panch Mahals","Gujarat",NA,24,"454",461032.236816,3158853194.36,45.9442031928225
"22","Sabar Kantha","Gujarat",NA,24,"458",581212.597781,4079235142.51,48.2937256115832
"23","Tapi","Gujarat",NA,24,"641",582009.3879,3026218034.2,40.8494147936393
"24","Vadodara","Gujarat",NA,24,"461",489551.727424,3938734370.42,45.8445693994079
"25","Amreli","Gujarat",NA,24,"439",726140.549982,7047102977.4,38.4227620924523
"26","Porbandar","Gujarat",NA,24,"456",407904.145113,2228573987.05,43.5246878142018
"27","Rajkot","Gujarat",NA,24,"457",957842.840526,7401928856.42,43.5549686020796
"28","Surendranagar","Gujarat",NA,24,"460",980953.518864,8825915621.61,44.5415106615936
"29","Botad","Gujarat",NA,24,"676",377376.50242,2386757362.45,43.8505526765594
"30","Kheda","Gujarat",NA,24,"450",474374.147204,3310716481.1,49.7382983882407
"31","Mahesana","Gujarat",NA,24,"451",610891.065596,4248515166.65,53.5558701328025
"32","Gandhinagar","Gujarat",NA,24,"446",427525.498504,2021995152.25,54.8583758202856
"33","Patan","Gujarat",NA,24,"455",734808.498805,5562451842.33,52.0466757346422
