"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Alipur Duar","West Bengal",NA,19,"664",347786.125038,2696242300.26,56.8075209762029
"2","Bankura","West Bengal",NA,19,"305",501616.440863,6621369303.63,77.6055670864357
"3","Purba Barddhaman","West Bengal","Not Verified on Ground",19,"306",590233.471127,5009744684.65,76.8527647245057
"4","Birbhum","West Bengal",NA,19,"307",664801.039758,4374275414.59,64.9576118351759
"5","Dakshin Dinajpur","West Bengal",NA,19,"310",409019.233036,2149572477.02,73.1076239753222
"6","Darjiling","West Bengal",NA,19,"309",341642.319911,1976394918.08,47.9945339847084
"7","Purba Medinipur","West Bengal",NA,19,"317",399699.235376,3809310320.49,61.39200297774
"8","Haora","West Bengal",NA,19,"313",256027.658424,1412767027.84,63.7225104435763
"9","Hugli","West Bengal",NA,19,"312",505309.743946,3032496221.34,76.3352019293163
"10","Jalpaiguri","West Bengal",NA,19,"314",457613.010134,3305834749.08,57.2279456750096
"11","Koch Bihar","West Bengal",NA,19,"308",841654.030211,3247437102.74,46.0416592047504
"12","Kolkata","West Bengal",NA,19,"315",96223.5186636,178361733.727,59.5288513203985
"13","Maldah","West Bengal",NA,19,"316",483310.58825,3452047666.05,76.2796452126093
"14","Murshidabad","West Bengal",NA,19,"319",588272.807355,5141584760.21,65.9142115467803
"15","Nadia","West Bengal",NA,19,"320",684999.084199,3746173399.93,69.9074386341366
"16","North Twenty-Four Parganas","West Bengal",NA,19,"303",591635.655161,3852227699.3,64.4839036411366
"17","Paschim Medinipur","West Bengal",NA,19,"318",556149.942494,6037537639.81,63.9441206883927
"18","Puruliya","West Bengal",NA,19,"321",584001.426043,6016746178.15,75.5217479719717
"19","South Twenty-Four Parganas","West Bengal",NA,19,"304",1696638.53142,7380975871.01,63.0437109962443
"20","Uttar Dinajpur","West Bengal",NA,19,"311",744493.179002,3018031067.06,69.6319111780809
"21","Jhargram","West Bengal","Not Verified on Ground",19,"703",480353.66234,2982702702.91,64.6406207457898
"22","Paschim Barddhaman","West Bengal","Not Verified on Ground",19,"704",289409.540608,1739923314.39,74.6218450416658
"23","Kalimpong","West Bengal","Not Verified on Ground",19,"702",175959.214442,1054104617.74,47.629365548953
