"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Central","Delhi",NA,7,"77",92366.0241155,103186016.094,115.394865444188
"2","East","Delhi",NA,7,"78",24536.8305966,30510722.9158,114.529351722507
"3","New Delhi","Delhi",NA,7,"79",80699.2507919,151623804.295,118.362658075519
"4","North","Delhi",NA,7,"80",110611.976578,282183219.817,109.532729914859
"5","North East","Delhi",NA,7,"81",47370.0295099,34205904.85,108.190418914937
"6","North West","Delhi",NA,7,"82",93419.7272794,149032948.34,110.260893480454
"7","Shahadra","Delhi",NA,7,"671",33443.7966155,33287844.2432,111.583842392559
"8","South","Delhi",NA,7,"83",69956.04237,154141201.451,112.197792763939
"9","South West","Delhi",NA,7,"84",111613.647824,274177794.744,110.410343756189
"10","West","Delhi",NA,7,"85",73954.3382015,127209041.661,114.806012724433
"11","South East","Delhi",NA,7,"670",59431.1073096,98130518.8068,116.316967031989
