"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Ajmer","Rajasthan",NA,8,"86",812709.256388,8160298609.52,59.6873314028404
"2","Alwar","Rajasthan",NA,8,"87",908983.518749,8091212384.84,81.2758663911276
"3","Banswara","Rajasthan",NA,8,"88",411359.218579,4336303719.1,49.4043293913614
"4","Baran","Rajasthan",NA,8,"89",632102.193942,6726828635.94,59.3731130800506
"5","Barmer","Rajasthan",NA,8,"90",1049617.25186,27319207031.2,63.5501036657713
"6","Bharatpur","Rajasthan",NA,8,"91",731664.143421,4881165658.54,96.358648000488
"7","Bhilwara","Rajasthan",NA,8,"92",724746.613986,10089945542.3,55.0861939711934
"8","Bikaner","Rajasthan",NA,8,"93",1180982.3923,29242823510.2,56.0701320024347
"9","Bundi","Rajasthan",NA,8,"94",483675.262634,5557825521.47,64.9735646944039
"10","Chittaurgarh","Rajasthan",NA,8,"95",1003416.5436,7515310038.81,52.6425468267844
"11","Churu","Rajasthan",NA,8,"96",1026392.85028,13393563936.1,58.301142007144
"12","Dausa","Rajasthan",NA,8,"97",515836.19162,3292720927.65,74.0445747146681
"13","Dhaulpur","Rajasthan",NA,8,"98",397730.001057,2923875633.46,103.125382131178
"14","Dungarpur","Rajasthan",NA,8,"99",373314.882518,3625027685.8,47.9250335600423
"15","Hanumangarh","Rajasthan",NA,8,"101",939963.777751,9415831017.53,70.6836328397836
"16","Jaipur","Rajasthan",NA,8,"102",843777.229147,10738111916.8,67.1396485504733
"17","Jaisalmer","Rajasthan",NA,8,"103",1149947.19488,37076827428.8,61.9991219216191
"18","Jalor","Rajasthan",NA,8,"104",734506.078773,10237007641.5,55.1267276487116
"19","Jhalawar","Rajasthan",NA,8,"105",754272.120853,6098840407.69,55.3119828105372
"20","Jhunjhunun","Rajasthan",NA,8,"106",520688.84274,5725228370.84,60.5224560857211
"21","Jodhpur","Rajasthan",NA,8,"107",1036725.76566,21857052895.4,61.1819802026727
"22","Karauli","Rajasthan",NA,8,"108",519975.882212,4832985849.86,78.157650928337
"23","Ganganagar","Rajasthan",NA,8,"100",824329.028612,10604700367.5,61.510942500359
"24","Kota","Rajasthan",NA,8,"109",608217.656809,4895444743.57,61.9853062844942
"25","Nagaur","Rajasthan",NA,8,"110",954558.169266,17172898481.8,61.0907590200283
"26","Pali","Rajasthan",NA,8,"111",870020.439557,11919964090.8,55.7247620160544
"27","Pratapgarh","Rajasthan",NA,8,"629",449221.779975,4268096507.4,49.405460872413
"28","Raj Samand","Rajasthan",NA,8,"112",701612.534792,4452621909.53,50.7853370800982
"29","Sawai Madhopur","Rajasthan",NA,8,"113",570117.2421,4839362637.72,72.3292560693326
"30","Sikar","Rajasthan",NA,8,"114",719407.442748,7462763686.14,58.9040513224414
"31","Sirohi","Rajasthan",NA,8,"115",455078.637864,4939274829.01,47.671971798911
"32","Tonk","Rajasthan",NA,8,"116",686222.906972,6929674533.09,67.2707434349555
"33","Udaipur","Rajasthan",NA,8,"117",876517.420943,11261554675.7,47.5631291137727
